age,comprehension,production,isnorming,birthorder,caregivereducation,race,sex,monolingual
10,40,15,TRUE,Third,Secondary,Black,Female,TRUE
10,17,4,TRUE,Third,Graduate,Black,Male,TRUE
10,125,2,TRUE,First,Some College,Black,Male,TRUE
10,30,2,TRUE,First,College,Asian,Male,TRUE
10,104,2,TRUE,First,College,Asian,Male,TRUE
10,68,4,TRUE,First,Some College,Asian,Female,TRUE
10,90,0,TRUE,First,College,Black,Male,TRUE
10,109,7,TRUE,Sixth,Some Secondary,White,Female,TRUE
10,40,4,TRUE,First,Some College,Black,Male,TRUE
10,14,0,TRUE,First,College,Asian,Male,TRUE
10,48,2,TRUE,Third,Some Secondary,White,Female,TRUE
10,18,7,TRUE,First,Some College,Black,Male,TRUE
10,39,2,TRUE,Second,Some Secondary,White,Male,TRUE
10,26,0,TRUE,Third,Secondary,Black,Male,TRUE
10,25,5,TRUE,First,Secondary,Black,Female,TRUE
11,142,3,TRUE,First,Some Secondary,White,Female,TRUE
10,80,8,TRUE,First,College,Black,Female,TRUE
10,22,3,TRUE,First,Graduate,Black,Male,TRUE
10,74,3,TRUE,Third,Some Secondary,White,Female,TRUE
10,74,3,TRUE,Third,Some Secondary,White,Female,TRUE
10,15,1,TRUE,First,College,Asian,Male,TRUE
10,34,2,TRUE,First,College,Black,Male,TRUE
10,84,16,TRUE,Second,Some College,Asian,Male,TRUE
10,3,3,TRUE,First,Some Secondary,White,Male,TRUE
10,1,0,TRUE,First,Some College,Black,Female,TRUE
10,18,1,TRUE,First,Some College,Asian,Male,TRUE
10,11,4,TRUE,First,Graduate,Asian,Male,TRUE
10,93,15,TRUE,First,Some Secondary,White,Male,TRUE
10,19,2,TRUE,First,College,Black,Male,TRUE
10,16,2,TRUE,First,Some College,Asian,Female,TRUE
10,8,0,TRUE,First,College,Black,Male,TRUE
10,12,5,TRUE,First,Graduate,Black,Female,TRUE
10,8,6,TRUE,First,Some Secondary,White,Female,TRUE
10,119,5,TRUE,Second,Secondary,Black,Male,TRUE
10,65,1,TRUE,First,Secondary,Asian,Male,TRUE
10,28,0,TRUE,First,Some Secondary,White,Male,TRUE
10,45,3,TRUE,First,Graduate,Black,Male,TRUE
10,91,10,TRUE,First,Some Secondary,White,Female,TRUE
10,27,1,TRUE,First,College,Asian,Male,TRUE
10,15,1,TRUE,First,Secondary,Black,Male,TRUE
10,0,0,TRUE,Third,Some Secondary,White,Female,TRUE
10,124,3,TRUE,First,Some Secondary,White,Female,TRUE
10,52,2,TRUE,Third,Some College,Black,Male,TRUE
10,61,11,TRUE,Third,Graduate,Black,Male,TRUE
10,65,3,TRUE,Second,College,Black,Female,TRUE
10,3,0,TRUE,First,Some College,Black,Male,TRUE
10,20,3,TRUE,Third,College,Black,Female,TRUE
10,27,5,TRUE,First,Some Secondary,White,Female,TRUE
13,74,5,TRUE,Second,Secondary,Other,Female,TRUE
12,55,0,TRUE,Third,Secondary,Other,Male,TRUE
18,237,23,TRUE,First,Graduate,White,Female,TRUE
18,285,24,TRUE,First,Graduate,White,Female,TRUE
12,89,16,TRUE,First,College,Other,Female,TRUE
10,25,0,TRUE,Third,Secondary,White,Female,TRUE
15,12,0,TRUE,First,Secondary,White,Female,TRUE
13,75,3,TRUE,Second,Some Graduate,Other,Male,TRUE
13,87,19,TRUE,Second,College,Other,Female,TRUE
13,263,66,TRUE,Second,Some Graduate,Other,Male,TRUE
14,149,17,TRUE,First,College,Other,Female,TRUE
14,145,16,TRUE,Second,Graduate,Other,Male,TRUE
13,47,3,TRUE,First,Some College,Other,Male,TRUE
14,106,16,TRUE,First,Some College,White,Female,TRUE
12,396,213,TRUE,First,Some Secondary,Other,Female,TRUE
14,120,31,TRUE,First,College,Asian,Female,TRUE
15,231,43,TRUE,First,Secondary,White,Female,TRUE
12,140,22,TRUE,Second,College,White,Female,TRUE
16,88,17,TRUE,Second,Secondary,Asian,Male,TRUE
8,12,1,TRUE,Third,Some College,White,Female,TRUE
9,45,1,TRUE,Second,Graduate,White,Female,TRUE
11,14,1,TRUE,First,Some College,White,Male,TRUE
16,351,237,TRUE,First,Some College,White,Female,TRUE
12,135,3,TRUE,First,Secondary,White,Male,TRUE
12,59,1,TRUE,First,Secondary,White,Male,TRUE
11,52,4,TRUE,Third,Secondary,White,Female,TRUE
11,11,4,TRUE,First,Some College,White,Female,TRUE
12,62,2,TRUE,Third,Some Graduate,White,Male,TRUE
12,148,32,TRUE,Second,Secondary,White,Female,TRUE
9,21,0,TRUE,First,College,White,Female,TRUE
10,31,0,TRUE,First,College,White,Male,TRUE
10,33,0,TRUE,Second,Some College,White,Female,TRUE
16,393,240,TRUE,Third,College,Black,Female,TRUE
15,153,53,TRUE,First,Some Graduate,White,Male,TRUE
14,181,23,TRUE,First,Graduate,Asian,Male,TRUE
12,128,2,TRUE,First,Some College,White,Female,TRUE
14,240,111,TRUE,First,Secondary,White,Female,TRUE
11,15,1,TRUE,First,Graduate,White,Male,TRUE
16,123,12,TRUE,Second,Some College,White,Male,TRUE
13,28,5,TRUE,Second,College,White,Female,TRUE
12,19,0,TRUE,First,College,White,Male,TRUE
13,136,0,TRUE,First,College,White,Male,TRUE
16,214,81,TRUE,First,Some College,White,Female,TRUE
9,29,0,TRUE,Second,Some Graduate,White,Male,TRUE
15,302,84,TRUE,Second,Secondary,White,Female,TRUE
13,164,19,TRUE,Second,College,White,Female,TRUE
8,38,5,TRUE,First,College,White,Female,TRUE
12,81,1,TRUE,Second,Secondary,White,Male,TRUE
14,243,82,TRUE,First,College,White,Male,TRUE
10,102,5,TRUE,Second,Graduate,Asian,Female,TRUE
10,39,1,TRUE,Second,College,White,Male,TRUE
9,57,7,TRUE,First,Some Graduate,White,Male,TRUE
8,7,0,TRUE,Second,College,White,Male,TRUE
9,30,0,TRUE,First,Secondary,White,Male,TRUE
12,121,11,TRUE,First,Some Graduate,Asian,Male,TRUE
12,24,4,TRUE,First,Graduate,White,Female,TRUE
15,73,29,TRUE,First,Secondary,White,Male,TRUE
16,134,64,TRUE,First,Secondary,White,Male,TRUE
15,142,25,TRUE,First,College,White,Male,TRUE
11,140,0,TRUE,First,Graduate,White,Male,TRUE
14,243,48,TRUE,First,College,White,Male,TRUE
9,10,4,TRUE,First,Some College,White,Female,TRUE
11,105,1,TRUE,Second,Secondary,Black,Female,TRUE
14,268,24,TRUE,Second,Some College,White,Female,TRUE
9,23,0,TRUE,Second,Graduate,White,Male,TRUE
9,17,4,TRUE,First,College,White,Female,TRUE
9,3,0,TRUE,Second,Some College,White,Female,TRUE
13,96,0,TRUE,First,Graduate,Black,Female,TRUE
15,68,11,TRUE,First,College,White,Male,TRUE
12,98,7,TRUE,Second,College,White,Female,TRUE
15,69,18,TRUE,Second,Some College,White,Female,TRUE
15,91,7,TRUE,First,College,White,Female,TRUE
13,52,1,TRUE,Third,Some College,White,Male,TRUE
16,218,8,TRUE,Second,Secondary,White,Male,TRUE
13,135,2,TRUE,First,Some College,Asian,Female,TRUE
12,242,20,TRUE,Second,Some Graduate,White,Female,TRUE
14,90,16,TRUE,Second,Secondary,White,Male,TRUE
13,119,12,TRUE,First,Some College,White,Female,TRUE
9,13,0,TRUE,First,Some College,White,Male,TRUE
14,56,3,TRUE,Fourth,Some College,White,Female,TRUE
9,96,1,TRUE,First,College,White,Female,TRUE
11,35,0,TRUE,Second,Some College,White,Male,TRUE
15,45,18,TRUE,First,Some Graduate,White,Female,TRUE
13,171,13,TRUE,First,Some College,White,Male,TRUE
13,194,5,TRUE,Second,Graduate,White,Male,TRUE
12,56,0,TRUE,Second,College,White,Male,TRUE
13,119,27,TRUE,Third,Secondary,White,Female,TRUE
15,108,35,TRUE,First,College,White,Male,TRUE
11,38,7,TRUE,Second,College,White,Male,TRUE
13,37,5,TRUE,First,Some College,White,Male,TRUE
13,99,31,TRUE,First,Some College,White,Female,TRUE
11,111,0,TRUE,First,Some College,White,Female,TRUE
16,175,11,TRUE,First,College,White,Male,TRUE
11,48,0,TRUE,First,College,White,Male,TRUE
15,80,25,TRUE,Second,College,White,Male,TRUE
13,120,23,TRUE,First,College,White,Female,TRUE
8,8,0,TRUE,First,College,White,Female,TRUE
16,184,48,TRUE,Third,College,White,Male,TRUE
11,99,0,TRUE,Third,Some College,White,Male,TRUE
10,20,4,TRUE,Third,Some Graduate,White,Male,TRUE
